City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,holualoa,19.6228,-155.9522,21.59,46,0,2.06,US,1713371157
84,envira,-7.3,-70.2167,27.05,92,99,0.9,BR,1713371157
85,invercargill,-46.4,168.35,10.01,79,100,1.79,NZ,1713371157
86,kidal,18.4411,1.4078,36.19,5,0,4.07,ML,1713371157
87,aykhal,66.0,111.5,-5.5,89,100,10.34,RU,1713371157
88,yunfu,22.9306,112.0373,23.81,81,100,1.4,CN,1713371158
89,alice springs,-23.7,133.8833,12.75,62,3,1.54,AU,1713371158
90,broken hill,-31.95,141.4333,13.88,49,0,4.77,AU,1713371158
91,lufilufi,-13.8745,-171.5986,28.58,77,20,4.33,WS,1713370877
92,vacaria,-28.5122,-50.9339,16.4,64,38,5.18,BR,1713371158
93,sheksna,59.21,38.5107,3.98,94,98,1.4,RU,1713371158
94,hasaki,35.7333,140.8333,15.22,81,90,4.42,JP,1713371158
95,axim,4.8699,-2.2405,30.05,73,100,3.94,GH,1713371158
96,mhamid,29.82,-5.72,34.54,5,32,2.49,MA,1713371158
97,cidreira,-30.1811,-50.2056,19.39,70,50,8.06,BR,1713371158
98,iqaluit,63.7506,-68.5145,-4.94,84,96,3.48,CA,1713371158
99,puerto deseado,-47.7503,-65.8938,12.63,66,5,13.4,AR,1713370939
100,gimbi,9.1667,35.8333,22.76,21,100,1.2,ET,1713371158
101,port moresby,-9.4431,147.1797,25.68,100,40,2.57,PG,1713370936
102,nar'yan-mar,67.6713,53.087,-16.05,86,99,9.83,RU,1713371158
103,recani,31.2846,-4.2688,32.32,8,10,7.14,MA,1713371159
104,sao vicente,-23.9631,-46.3919,33.1,72,0,2.68,BR,1713371084
105,tiksi,71.6872,128.8694,-11.82,86,88,6.15,RU,1713371159
106,flying fish cove,-10.4217,105.6791,27.82,83,100,5.14,CX,1713371159
107,laojunmiao,39.8333,97.7333,13.11,14,100,2.51,CN,1713371159
108,ed damer,17.5928,33.9592,36.75,7,15,3.26,SD,1713371159
109,punta arenas,-53.15,-70.9167,13.06,67,40,5.14,CL,1713371089
110,lehliu-gara,44.4333,26.85,14.79,91,99,6.52,RO,1713371159
111,avarua,-21.2078,-159.775,26.03,83,20,5.66,CK,1713371159
112,papao,-17.75,-149.55,24.82,81,14,9.52,PF,1713371159
113,gadzhiyevo,69.2551,33.3362,-5.44,88,98,2.67,RU,1713371159
114,tsiombe,-25.3,45.4833,22.07,73,96,8.0,MG,1713371159
115,banjarmasin,-3.3244,114.591,25.28,94,80,0.69,ID,1713371159
116,beidao,34.5686,105.8933,17.86,67,31,1.94,CN,1713371159
117,waingapu,-9.6567,120.2641,25.76,85,6,3.75,ID,1713371159
118,yakeshi,49.2833,120.7333,5.49,54,44,6.65,CN,1713371160
119,wailua homesteads,22.0669,-159.378,22.24,92,75,2.57,US,1713371160
120,miyaly,48.8844,53.7836,19.24,40,2,4.59,KZ,1713371160
121,floro,61.5996,5.0328,9.04,40,0,5.66,NO,1713371160
122,farasan,16.7022,42.1183,28.84,70,91,3.91,SA,1713371160
123,carhuamayo,-10.9167,-76.0333,11.96,45,29,4.09,PE,1713371160
124,fortuna,40.5982,-124.1573,11.63,89,20,0.0,US,1713371160
125,birobidzhan,48.8,132.95,12.12,92,100,2.38,RU,1713371059
126,nedroma,35.0136,-1.748,27.64,41,100,2.81,DZ,1713371160
127,afaahiti,-17.75,-149.2833,23.93,82,6,8.09,PF,1713371160
128,oranjemund,-28.55,16.4333,16.36,89,21,3.91,NA,1713371160
129,new norfolk,-42.7826,147.0587,11.72,90,76,1.51,AU,1713371160
130,antakya,36.2066,36.1572,28.9,45,0,1.22,TR,1713371160
131,remire-montjoly,4.9167,-52.2667,27.02,94,75,1.03,GF,1713371160
132,kodiak,57.79,-152.4072,2.73,93,100,13.38,US,1713371161
133,yelizovo,53.1873,158.3805,1.17,97,100,2.0,RU,1713371089
134,port sudan,19.6175,37.2164,27.41,55,2,2.83,SD,1713371161
135,vyshniy volochek,57.5913,34.5645,5.65,83,100,1.91,RU,1713371082
136,comodoro rivadavia,-45.8667,-67.5,18.92,30,0,8.75,AR,1713370874
137,talnakh,69.4865,88.3972,-14.89,96,100,1.15,RU,1713371161
138,okha,53.5739,142.9478,2.36,97,99,3.13,RU,1713371161
139,kuroiso,36.9667,140.05,11.46,71,81,1.47,JP,1713371161
140,saint-pierre,-21.3393,55.4781,23.82,57,0,10.29,RE,1713371161
141,waitangi,-43.9535,-176.5597,12.12,95,41,5.07,NZ,1713371161
142,alindao,5.0267,21.2088,34.04,35,90,2.79,CF,1713371161
143,payson,40.0444,-111.7321,16.36,48,75,3.6,US,1713371060
144,kolonia town,6.964,158.206,27.0,94,75,2.06,FM,1713371161
145,dmitrovsk-orlovskiy,52.505,35.1464,6.79,95,100,3.7,RU,1713371161
146,thompson,55.7435,-97.8558,-0.07,97,100,5.09,CA,1713371161
147,ribeira grande,38.5167,-28.7,17.22,94,75,6.17,PT,1713371162
148,barra de santo antonio,-9.4047,-35.5072,31.6,71,96,3.64,BR,1713371162
149,nuuk,64.1835,-51.7216,4.34,75,75,3.6,GL,1713371162
150,port elizabeth,-33.918,25.5701,25.61,64,0,2.06,ZA,1713371162
151,pinarbasi,38.7229,36.3931,15.2,41,36,5.09,TR,1713371162
152,ilulissat,69.2167,-51.1,-3.99,58,0,1.54,GL,1713371162
153,andergrove,-21.0833,149.1833,24.1,83,49,4.24,AU,1713371162
154,vila velha,-20.3297,-40.2925,28.97,77,40,4.63,BR,1713370721
155,lihue,21.9789,-159.3672,22.58,89,75,2.57,US,1713371162
156,bikenibeu village,1.3673,173.1241,25.98,94,75,1.54,KI,1713371162
157,labuan,5.2767,115.2417,27.2,89,20,0.0,MY,1713371162
158,ndago,-4.6,34.35,18.85,89,82,3.21,TZ,1713371165
159,sai buri,6.7013,101.6168,26.45,88,91,2.12,TH,1713371166
160,sao gabriel da cachoeira,-0.1303,-67.0892,30.89,74,40,4.12,BR,1713370940
161,ulysses,37.5814,-101.3552,24.22,35,0,5.66,US,1713370983
162,port douglas,-16.4833,145.4667,25.28,83,72,5.78,AU,1713371170
163,noumea,-22.2763,166.4572,18.99,80,30,4.95,NC,1713371170
164,posse,-14.0931,-46.3694,30.86,43,13,3.22,BR,1713371127
165,praia da vitoria,38.7333,-27.0667,19.14,82,40,5.67,PT,1713371171
166,kaspiyskiy,45.3929,47.3707,13.52,74,17,7.48,RU,1713371172
167,longyearbyen,78.2186,15.6401,-10.09,73,0,1.54,SJ,1713371172
168,hirara,24.8,125.2833,25.15,88,75,2.57,JP,1713371172
169,macheng,31.1783,115.0319,15.83,88,5,1.38,CN,1713371172
170,haiku-pauwela,20.9219,-156.3051,20.02,88,40,0.45,US,1713371172
171,port macquarie,-31.4333,152.9167,15.5,99,48,2.0,AU,1713371172
172,gazojak,41.1875,61.4036,24.14,21,0,3.84,TM,1713371172
173,tobelo,1.7284,128.0095,27.04,83,100,1.48,ID,1713371172
174,carolina beach,34.0352,-77.8936,27.04,60,100,3.9,US,1713371172
175,aasiaat,68.7098,-52.8699,-8.48,74,4,3.0,GL,1713371172
176,ta`u,-14.2336,-169.5144,28.51,78,45,6.11,AS,1713371175
177,kununurra,-15.7667,128.7333,26.99,54,99,2.57,AU,1713371065
178,fort morgan,40.2503,-103.8,14.68,47,0,5.14,US,1713370943
179,acapulco de juarez,16.8634,-99.8901,27.9,74,0,4.63,MX,1713371177
180,veraval,20.9,70.3667,28.32,68,36,6.11,IN,1713371177
181,mubi,10.2676,13.2644,40.28,12,100,2.73,NG,1713371177
182,salinopolis,-0.6136,-47.3561,30.02,73,73,4.5,BR,1713371068
183,evreux,49.0241,1.1508,9.51,66,75,8.75,FR,1713371177
184,hadibu,12.65,54.0333,29.21,80,82,0.92,YE,1713371177
185,cangzhou,38.3167,116.8667,17.98,36,23,3.19,CN,1713371177
186,kenora,49.8167,-94.4337,3.74,93,100,3.0,CA,1713371111
187,weno,7.4515,151.8468,26.97,83,75,3.09,FM,1713371177
188,lebu,-37.6167,-73.65,16.5,77,56,2.57,CL,1713371177
189,masterton,-40.9597,175.6575,12.71,97,1,1.48,NZ,1713371177
190,al burayqah,30.4062,19.5739,18.86,84,0,8.58,LY,1713371178
191,jamestown,42.097,-79.2353,14.18,88,100,1.79,US,1713371178
192,vorgashor,67.5833,63.95,-11.78,95,100,6.64,RU,1713370906
193,fort bragg,35.139,-79.006,25.46,60,100,2.24,US,1713371178
194,gadani,25.1185,66.7299,29.12,69,5,5.12,PK,1713371179
